cmx,cmy,cmz,m1,x1,y1,z1,vx1,vy1,vz1,m2,x2,y2,z2,vx2,vy2,vz2,m3,x3,y3,z3,vx3,vy3,vz3,cmxf,cmyf,cmzf,x1f,y1f,z1f,vx1f,vy1f,vz1f,x2f,y2f,z2f,vx2f,vy2f,vz2f,x3f,y3f,z3f,vx3f,vy3f,vz3f,ticks
32.334816,0.12933096,3.6598854,25.533169,35.921562,11.679363,35.737366,1.6281577,-1.8416313,-2.0284846,20.814838,12.247841,-45.92522,-3.0641823,0.6254127,-0.20168275,0.64820266,23.128778,48.835045,34.63385,-21.693527,0.08110615,-0.5776924,0.51663184,52.546276,-20.45063,-3.1056318,58.197113,-20.447731,-25.689795,-0.56225735,-0.32076928,-0.947868,52.14032,-22.39745,5.267738,4.5917325,-5.8640337,-4.0630193,47.301384,-18.506706,11.105161,-1.0702757,2.8391957,3.5635624,483
0.62517804,19.735813,7.313159,18.943745,-45.503075,21.361916,-10.781242,-1.7548733,2.435575,-0.5369344,17.274002,-2.6033936,14.998268,14.65934,0.43584505,0.44775152,-0.22253054,24.687681,49.982002,22.847252,18.061378,1.351426,-0.0781737,2.3784316,16.83277,117.63179,78.914474,-101.239685,231.7681,-8.558971,-0.10577568,1.7048832,0.23364656,92.46742,82.73029,85.16904,0.7472639,0.35336426,1.7305218,59.27057,38.39696,160.13335,-0.1318871,0.5485566,0.42058367,2133
-26.678122,27.947891,7.5642257,13.159534,-19.791376,22.1566,34.518333,-1.2337465,-0.013397799,1.2619783,21.026573,-44.11175,33.571785,-5.9836807,-0.76249343,0.98463255,1.2345941,13.543586,-16.131237,28.115288,-5.841976,-1.3012316,2.5036027,-0.9414431,-228.29796,245.35533,123.75054,-231.4853,251.57576,127.907524,-3.4822912,24.950918,-11.595605,-231.68666,252.12164,127.7869,-0.15386868,-12.76491,10.291918,-221.72188,232.36858,115.5572,-0.061335795,-0.4064894,-2.5100546,3814
7.0202446,25.709747,12.939514,24.709862,33.328926,49.203415,46.317627,-0.06702942,0.24307133,0.27137923,17.670921,-10.579792,14.425865,3.3589554,-3.32166,2.6478786,-1.4210134,23.140636,-1.6884003,13.499962,-10.85804,-1.3553365,0.49633,-0.42775378,-91.77388,98.973694,-15.546133,-68.48234,63.11195,-16.123415,-2.9433823,1.20282,-1.5927848,-103.99558,114.45491,-8.961849,-2.2599323,1.640996,1.9750863,-102.843704,119.354225,-21.553133,0.9052952,0.24038608,-1.0305406,1419
-5.506328,8.7514,-10.755683,14.146057,37.25196,29.129562,-32.983105,0.9058311,1.6204925,0.25087819,26.765789,-20.63331,-36.155148,-11.453484,-0.26677805,-0.54067594,0.5658923,15.532169,-33.137634,33.279785,12.16954,1.2114263,-1.7391595,-1.7233605,1084.8762,-832.5292,-364.3713,1154.982,-980.92365,-279.74954,0.1325666,0.6167646,-0.20849699,1044.4613,-801.8677,-371.53455,0.56722647,-0.6220525,-0.63230306,1055.1849,-714.79626,-441.82986,0.4784957,-0.68476844,0.75981057,50000
7.066456,-2.4193332,3.5278206,24.626255,48.25065,-22.698896,32.489693,0.10631037,-0.25745392,-2.0859334,23.428703,2.7853737,34.657234,12.6028595,1.7502441,1.6362529,1.9433851,26.18775,-29.836655,-19.216337,-34.50909,0.041377954,-0.92279357,-0.11760815,1510.8923,262.93372,-296.80087,1234.8619,529.9499,-434.29413,0.42938727,0.36574548,0.067200355,1642.416,183.49582,-194.53165,0.6347938,0.68295836,-0.36275658,1655.3988,75.355446,-261.57675,0.73549837,-0.65597194,-0.07918878,50000
-29.054739,-26.267982,22.851513,25.696917,-19.147223,-37.727234,-20.470509,-0.78652835,-1.419888,1.1461947,16.263548,-25.822832,-39.51419,45.569786,-0.27205062,0.07765641,0.34546462,15.613968,-42.19416,-1.5625229,43.455254,2.165373,1.3162361,0.44442838,250.58234,-490.96503,1314.5242,276.7549,-439.51492,1296.861,-0.20557517,0.30923474,0.23450232,299.05258,-407.40863,1316.6866,1.4254891,-0.48250842,0.69203824,175.9395,-625.9714,1330.0247,-0.5589125,-0.94602126,1.5838859,35520
-0.30024403,-14.573558,0.3801689,11.092455,-22.210672,-40.30832,0.9789467,0.7765317,0.13660166,-0.39828718,27.553593,4.877186,23.285217,0.58605576,1.5594752,-0.7529483,1.0790389,22.038801,16.432755,-26.69757,-0.4244957,-1.3601141,-2.310937,1.71455,203.70306,-646.7273,579.59644,204.67319,-631.92633,579.3832,4.1208544,-4.15403,4.003348,195.75026,-671.2783,589.0841,-1.8874542,-0.80394983,1.0878992,210.68571,-636.97736,570.3221,1.2661052,-0.087638475,-0.51194024,11160
8.746426,10.883357,-37.791702,23.24358,-42.455845,45.455566,-48.296658,1.3909509,-1.4672204,0.5746013,20.892067,46.55316,30.085686,-24.199873,0.1548623,-0.13718577,-0.22992238,10.516032,22.14196,-42.891182,-40.87857,2.371696,-0.12638232,0.5727988,176.8786,-107.82278,-1.2531395,212.22205,-73.903534,13.105592,0.3910021,2.011447,-1.4422643,201.46628,-81.94244,25.105669,1.5641171,-3.2158089,2.0638463,116.94747,-167.62234,-41.97068,1.7821313,-1.6990235,0.47367552,3356
3.4028296,14.430183,-1.9818256,18.206161,41.656708,-29.97387,5.274868,-1.6167319,1.8429008,0.11969401,20.07087,-41.728577,27.116661,24.112411,1.7289252,-0.35473347,-1.2451978,17.075382,10.280357,46.14776,-35.332756,-0.11207606,0.1574459,-0.055045266,2.6174114,32.632023,-16.721767,36.948776,44.33929,-11.161485,1.9560632,-0.041431334,1.4558096,13.327103,33.88015,0.093327194,0.6499407,2.1558433,-1.2167516,-42.423645,19.67663,-39.097145,-2.6532047,-0.78443754,-1.5130806,712
