cmx,cmy,cmz,m1,x1,y1,z1,vx1,vy1,vz1,m2,x2,y2,z2,vx2,vy2,vz2,m3,x3,y3,z3,vx3,vy3,vz3,cmxf,cmyf,cmzf,x1f,y1f,z1f,vx1f,vy1f,vz1f,x2f,y2f,z2f,vx2f,vy2f,vz2f,x3f,y3f,z3f,vx3f,vy3f,vz3f,ticks
20.755882,19.717705,17.257835,16.631948,46.740013,28.879425,16.797424,-0.25515848,-0.27168253,0.27188423,27.747585,-6.017391,41.496986,7.6899834,0.23194994,0.21658477,-0.026661133,13.182964,21.545021,-11.223297,27.286095,-0.5407803,-0.37821347,-0.4458528,-15.502238,-7.4893064,2.3402615,-32.379772,21.230743,-8.296822,-5.936828,1.0335959,-6.304356,-26.018724,20.064224,-4.09333,3.6276407,-0.55480504,3.838166,11.891784,-63.762886,19.410936,-0.5199122,-0.40135574,-0.28381175,8095
8.800876,29.2244,-1.4673157,21.382454,30.454224,16.963058,12.342487,-2.967053,-0.6468792,-3.890819,13.109922,25.10691,22.966057,16.536629,-2.6830125,-0.3680749,1.8908634,26.223768,-29.158508,47.74408,-33.281063,-0.825584,0.48880905,-0.8726166,-38.00628,26.161665,-33.462402,-40.817806,17.96147,-29.880827,-2.6682642,0.29442176,0.41216552,-36.791332,13.573999,-29.643608,-4.9527087,1.7737952,-7.7322445,-36.409695,46.949524,-40.862774,0.06546565,-1.3494884,0.42962983,420
-8.549631,-26.869864,15.243805,29.007702,14.116135,-11.562759,-8.431763,-0.2790611,0.025891505,-0.07468953,26.951508,-46.579327,-47.1936,11.225082,-0.7279072,-0.10839491,-0.7289079,10.165063,6.8143005,-21.853233,42.938095,0.5413999,0.98113346,0.24277735,-33.18933,-21.509956,-9.447292,4.355317,-26.147099,14.356862,1.179485,-0.0659546,0.89820987,-51.72256,-19.177572,-22.507887,2.6587424,1.705924,-15.670904,-52.20075,-19.205198,-20.190853,-12.6001215,-3.5672307,37.08345,920
-27.517881,-16.391724,13.387009,19.280907,-5.057823,1.4275055,16.51136,-0.2847477,-1.808487,-0.81624705,13.00445,-34.59599,-33.988213,13.569977,0.0403087,0.13324665,0.32236442,16.541546,-42.89983,-16.61446,10.079689,0.11737951,-3.4849012,1.7994807,-33.638744,-242.30917,58.618176,-32.115646,-243.50609,59.94661,1.4534488,-0.19196036,3.720579,-36.382324,-240.21257,48.964542,-4.278379,-5.159504,2.0892665,-32.418262,-243.20886,66.94338,1.4865491,-1.2081395,-4.8777475,2457
-5.949375,21.262724,-1.3281467,11.409235,27.82788,31.124207,43.68596,-0.34277827,-0.46350265,0.33127135,25.85771,-14.325775,-10.450165,-38.07939,-0.7080082,1.3439054,-0.6623704,21.423286,-31.350231,43.11413,-9.591007,0.87236184,-0.38638613,0.98805845,-157.86029,949.1892,326.763,-135.741,1093.853,352.81894,0.8424762,1.6258832,0.9267096,-171.77048,883.79553,313.2341,-1.9494599,-0.5247648,2.5092418,-166.06938,869.91907,314.2359,1.7395587,0.75634944,-3.1571646,50000
-8.661306,-19.30583,18.83929,15.384082,34.042496,-26.15934,-10.306377,-1.7754377,-1.7769359,-1.7144574,25.356377,-37.757362,-7.8966217,48.34291,0.21803145,1.8665215,2.1781988,27.328568,-22.269053,-23.861526,18.481339,-1.0695255,1.191134,-3.0376406,-39.227196,-3.5527844,-5.4397764,-48.98902,-58.34157,-45.142075,-3.1957068,-0.06703266,-0.8656455,-23.06995,35.952255,80.71893,0.4913611,1.2787186,0.5399053,-45.62261,11.730964,-51.896187,-0.5236188,0.7739608,-1.9953945,605
-17.023504,14.444849,2.8415313,10.192247,3.8506508,-13.530987,-41.465168,-0.4635846,-0.0010541639,-0.3796315,15.747662,-17.640316,12.676041,10.079132,0.5039785,0.39111078,0.43843657,29.994438,-37.280846,44.18949,39.91063,-1.6548448,-1.5608171,1.2638382,-81.90816,-25.16344,65.5707,-77.9813,1.1331799,60.782124,-2.27708,-2.1687984,4.837438,-87.240105,-59.48603,64.42888,1.0308745,-1.2392651,-1.3330036,-80.503044,-17.137465,71.5011,-1.315241,0.03177076,0.42109522,1390
27.175713,1.2969259,25.896017,29.933355,22.01902,39.595436,18.858757,1.8364472,-0.53031635,1.005683,22.735233,36.28479,-2.1620255,43.679596,-0.48778132,-1.6229812,-2.3892546,25.040169,23.223328,-33.542633,15.149696,-0.7958274,-0.78967,-2.2978806,29.35358,-11.202192,8.914621,46.734665,19.926662,32.821106,1.6378996,-2.2916849,0.7842987,19.437078,-26.3732,-1.2779884,-27.546333,10.029243,38.825382,21.888992,-27.160038,-4.799255,24.009346,-9.263746,-39.454086,270
-10.518768,0.30555218,-12.38423,19.500002,-3.762806,44.00347,-39.12396,-1.0006273,0.33293056,1.2970915,15.420961,-47.137333,-9.701706,24.571243,1.0304517,-0.84514624,1.1966287,20.294033,19.343834,-33.38511,-22.599972,0.27093735,-0.21106735,-0.14111094,78.79559,-492.46054,1837.5933,91.417305,-500.61133,1839.7197,-0.20678164,-0.10397301,0.730773,90.41765,-524.2437,1857.4548,0.9175654,1.2629614,-1.6333543,54.551826,-452.5266,1815.6052,-0.4060699,-1.3931551,2.5534892,50000
4.804181,0.25770378,21.174402,21.480995,-0.20797348,-4.8297043,28.859764,1.4991469,0.9428282,-1.6525631,21.468912,-25.578558,27.891663,-3.9822655,0.049379513,0.44143257,-1.1945342,12.74671,40.199074,-22.288847,38.645706,-1.0039403,0.2881336,0.37703714,65.55666,115.46739,-165.31169,50.610367,118.07906,-143.3818,-35.762276,-19.839931,9.734812,90.92495,107.61203,-207.8792,0.9607193,0.25274378,-1.0139756,55.134678,120.711075,-144.67409,60.25477,35.629433,-19.11729,3697
