cmx,cmy,cmz,m1,x1,y1,z1,vx1,vy1,vz1,m2,x2,y2,z2,vx2,vy2,vz2,m3,x3,y3,z3,vx3,vy3,vz3,cmxf,cmyf,cmzf,x1f,y1f,z1f,vx1f,vy1f,vz1f,x2f,y2f,z2f,vx2f,vy2f,vz2f,x3f,y3f,z3f,vx3f,vy3f,vz3f,ticks
13.66068,19.481216,-32.651848,-44.067825,1.1186166,-2.9894085,0.35785103,19.753803,16.668968,0.6043205,-32.56322,-0.07412782,2.1932113,-2.0544574,15.414183,0.6142845,32.568924,34.8936,-0.039819896,-0.015581815,-0.15653165,17.86333,-3.459298,-24.569942,36.833054,-72.46769,-35.86821,0.9523379,-2.0069065,0.50718766,15.637796,32.031147,-64.96787,-0.05996057,1.6862067,-1.7179087,1.1191458,30.05865,27.126257,0.08938676,-0.23657042,-0.72017676,340
14.947792,19.454674,21.867508,-23.62272,-0.36389446,0.4314595,0.23371173,26.210375,-5.8796806,8.578228,-32.07124,1.5499296,0.94948316,2.0759106,13.762673,-31.240654,24.41639,-4.686653,-1.1791041,3.154935,1.2923102,14.379535,91.433525,56.044617,21.753305,100.062546,49.187054,7.663838,1.8101392,-1.0371611,13.177344,99.63212,53.720493,-3.0633826,1.0012059,1.5539241,8.207956,74.6059,65.22631,-1.1122779,1.5590345,3.6667268,1136
29.813482,25.222633,-34.30515,43.65146,1.3014388,0.6531601,-1.9261658,16.015549,-18.408657,34.98123,21.120712,0.4740982,-0.46065378,3.1872149,24.782871,-5.6698456,3.4015236,15.195618,-0.9613837,-1.8722616,-2.4236186,19.65416,-30.259039,4.8158965,13.202852,2.0185056,-53.134018,-1.3851844,-0.26880544,-2.0331933,29.378021,-46.99018,100.578,1.2853354,-2.210324,0.92673326,16.381607,-45.805443,-32.996296,1.7463409,0.3675441,-0.83405834,845
26.136673,-39.937233,26.455032,21.108452,1.1580297,-0.25808477,0.4802724,19.175282,-28.30531,-40.24893,35.438484,1.5561366,-4.308051,0.42814493,28.13688,10.449524,-27.136368,40.876648,-0.12535095,1.673491,-3.3754082,-17.996216,-15.030676,31.28308,-38.21599,26.004757,21.82561,1.2170875,-0.36287555,0.50807166,-25.899485,-46.376347,36.06342,1.7580386,-4.138121,0.42901966,10.126824,-24.720436,35.960205,-0.31780648,1.6550248,-3.4018278,29
25.624228,46.46676,34.797195,-11.019127,0.88430977,0.47414017,2.0220141,22.473917,33.62493,-45.8341,-36.651047,0.46548605,1.0216951,4.2881517,21.257103,31.119865,-35.167957,-40.125336,-1.0184169,-0.15021229,1.5963817,43.88299,4.7975645,69.206436,40.799976,-2.4277894,68.94205,-3.6563327,1.6262239,8.240606,46.721985,2.317318,68.32398,2.5412607,-0.79201573,-0.7172116,44.12701,14.503165,70.35329,2.260474,0.37854862,-0.60789204,742
16.477674,-35.384773,10.27565,35.21,-0.57323074,-0.5321913,2.757197,26.222626,-5.001278,-31.749557,-39.939346,-1.0643057,-0.41714105,-1.1229936,25.206453,34.198082,38.079506,-37.455513,1.3144168,0.8557741,-0.6005963,-16.700752,-2.4751391,26.402136,-69.5335,-89.50312,356.00385,-0.095648065,-0.46797365,1.3354148,8.3002615,52.608234,-138.81084,2.6502712,-1.0832874,0.091116905,11.130983,29.46947,-137.9866,-2.8621113,1.5067946,-0.934224,3767
18.880798,-29.207819,9.499626,-39.6586,-1.0670309,1.9430943,-1.7247529,23.61792,37.83745,44.29928,-0.693882,-0.47126418,-0.07839308,-0.0464048,15.3207,-45.792377,-30.932241,19.59858,-0.14847855,-1.4833479,-1.5014975,-297.81174,122.01619,-498.73248,-199.66359,245.73451,-595.2098,-0.33719426,0.51158196,-0.6043156,-329.78104,39.004875,-452.62094,-0.07231922,-0.45655403,-1.9357176,-363.99057,81.30917,-448.3667,-1.662911,0.8637668,0.03021361,10000
24.950382,-35.235203,4.529072,47.658722,-0.3460114,-0.2833021,-0.28483436,14.493638,6.0590744,38.210777,-32.368587,-1.0105754,0.4065401,-0.5958366,16.87963,38.528908,-45.182114,-46.649353,1.176085,2.0538034,-0.10454893,-41.975426,306.0005,-150.86267,49.32674,211.49683,-218.26518,0.5942953,1.3284367,-1.6355596,53.457237,231.65308,-243.08328,-0.707634,-0.36143523,1.8393159,-228.71025,474.8516,8.760482,-0.47393432,0.3308546,-0.19892718,10000
11.363602,-41.086506,-27.725834,-34.71717,-0.8055215,0.839679,-1.1365668,19.16689,45.62976,24.825615,-29.342514,1.92877,-2.131718,-2.0421007,12.434193,33.37491,34.242447,-25.76819,-4.6746798,-0.022108555,-0.84452343,11.035902,9.7999325,-31.834023,-42.188503,-26.532625,-36.30622,-0.7685178,0.8649327,-1.1335031,48.03578,22.03356,-32.124073,1.5546085,-1.8992141,-1.9467045,27.260424,33.89886,-27.07177,-4.13174,-0.4035838,-0.994373,28
12.283051,26.533455,-2.3439941,-9.915756,-0.83902013,0.42995775,1.2953198,19.646084,-45.83731,37.018837,13.267738,-2.3966465,0.23408692,1.2273976,26.265837,6.700577,42.043564,39.468346,-0.35579994,0.59218603,0.7385922,-422.0432,188.8132,390.07382,-422.246,187.61572,390.3792,5.57207,-1.8598282,-21.567822,-422.69376,188.20573,391.90726,0.42789733,3.8239439,20.354792,-421.18982,190.61807,387.9349,-5.4665823,-1.0221242,-2.876348,7239
