m1,x1,y1,z1,vx1,vy1,vz1,m2,x2,y2,z2,vx2,vy2,vz2,m3,x3,y3,z3,vx3,vy3,vz3,x1f,y1f,z1f,vx1f,vy1f,vz1f,x2f,y2f,z2f,vx2f,vy2f,vz2f,x3f,y3f,z3f,vx3f,vy3f,vz3f,ticks
17.965937,4.394741,5.444206,37.563957,2.959979,-1.5481734,-3.4740293,19.989738,8.735275,38.24285,5.040924,3.0602922,-0.88301945,-1.2369342,27.85006,9.940685,22.492554,8.929096,-0.36105537,1.7488093,-1.5217166,9.17772,3.2326145,31.664154,3.0089774,-1.2020985,-3.893981,13.489558,35.068344,3.584885,2.6011653,-3.4470289,-0.45355332,9.434724,26.38384,6.339126,-0.063120246,3.3659086,-1.8130894,32
20.456055,-1.9980354,-13.03751,-37.90068,-1.376342,0.41490737,1.7173316,18.207026,16.74305,-7.6199226,30.307663,-2.0880692,-0.04977844,-1.2425983,22.427933,49.586906,-9.5245285,-32.387775,1.3239007,1.4415483,-1.2389855,-41.10489,2.0063536,-4.413203,-6.059685,-14.881351,2.345979,-40.948143,3.1985304,-5.055117,5.228936,17.575897,-3.02473,61.416557,45.29393,-63.829674,-0.34447303,1.0843974,-0.36562586,869
15.480832,22.651054,12.266022,23.026253,-2.0104556,-0.3196292,0.45444584,21.279182,-3.2098465,19.007393,18.68106,0.30607963,-2.9652202,2.379565,29.535948,14.154396,-30.265963,-28.59788,-1.1934612,0.56702226,2.139464,-2.9435296,-35.80366,48.264717,0.36482593,-3.1414394,0.5134776,-5.2399006,-11.274952,20.044144,-38.18385,-9.791538,-11.987535,-2.6858308,-10.434962,21.231731,25.291647,6.964055,12.459304,313
22.921026,-45.819508,-24.21528,-15.013813,2.7666974,-1.0273046,1.9074049,19.822124,-45.4939,35.388573,-4.577591,-0.034924332,-0.03871096,0.5681565,27.898691,9.951687,-37.940308,-35.000896,0.6838097,1.3836778,-1.8261026,570.69324,95.96314,-80.789696,1.0993592,0.7792221,0.40525708,460.8268,87.94747,-112.703995,0.5071714,-0.012198443,-0.36459878,360.79507,38.57698,155.91258,1.6685071,-0.11936796,0.07076169,8302
26.243414,-46.321003,-24.059313,-35.543232,-0.96294373,-1.3228973,1.1377077,10.191868,-41.258736,5.955841,36.306572,-1.4947078,1.923553,-0.7644313,19.847652,27.628448,-4.8400154,-2.1021004,0.22231539,-0.30902672,-0.074052036,-376.89648,-202.46268,174.83751,0.17869917,-0.5734879,0.6326594,-311.3232,-259.54752,185.43459,-1.6046593,0.6800248,2.3081434,-305.82462,-167.84198,162.01067,-1.2307539,-0.66137016,-0.9840411,10000
12.790226,28.622894,-25.82041,21.115967,0.9430349,-0.6805652,-0.31703112,12.958361,24.087105,7.326393,-7.938339,3.2465916,0.052840233,1.5889492,24.104359,-26.324839,-10.053646,-10.21875,-0.2792161,0.29708102,-0.183714,416.96542,-37.82563,94.37039,2.638811,-0.42710096,0.10436971,416.263,11.861542,107.21263,3.8240364,0.12855181,1.8882818,401.305,-21.424292,104.70812,-1.4894581,0.12188595,-0.56823575,8589
17.905313,44.481712,-24.999678,-37.21677,-3.8506932,0.79557467,-1.795156,23.72166,-32.43099,22.638496,21.812668,0.08254957,-0.5844183,-2.2022634,29.969109,47.1009,-36.621464,-26.91998,1.2242596,-2.4994948,1.9262434,-103.6984,-485.87854,-370.01532,-0.26105693,-1.5049541,-0.41440746,-242.82654,-534.22186,-124.289894,-1.7628673,-0.15157768,-1.1355274,-203.34987,-563.8686,-157.17279,0.5403067,-1.4676362,0.25693688,10000
19.261374,-38.536274,36.776794,-28.837608,3.4212189,0.23934078,-2.2944574,27.653511,-12.2966,36.597,-43.186604,1.170935,1.1930109,-0.9922105,16.609825,-30.864054,35.188766,-46.448505,-3.2427363,3.2569551,-4.246147,-15.075407,54.12987,-43.733093,-0.50739866,3.8300905,0.33680862,-10.110753,36.139584,-59.667667,1.9911478,-0.7794169,-4.4613028,-42.05463,56.404438,-64.6432,-0.052527755,2.3768613,-1.5218047,147
12.240513,-23.474604,-15.043522,-35.66681,-2.3739355,-0.8278593,0.5772584,12.017845,17.242691,-8.364456,-29.134268,-1.1045384,-0.7072983,-0.07191539,10.280056,-24.429262,-34.791344,3.0761375,-0.04669781,0.028319297,-0.60251874,-88.45644,-47.508038,-34.75,-6.125919,-1.2023717,9.288103,-87.23834,-48.03162,-36.466915,2.808926,-0.15460551,-9.529647,-32.72607,-38.798603,10.594221,-0.15420866,-0.1718703,0.08194745,998
23.609867,-0.08161545,30.92498,-30.99181,-1.3325137,0.41897717,2.5613697,24.048529,-31.774414,-26.53222,-16.479183,-0.58619976,-1.4763224,1.8847136,27.112982,-38.807953,-1.2382584,1.5076637,3.9548912,1.6165495,-1.7514873,-23.971664,2.5119886,11.080245,-0.9388067,-3.584466,1.9050965,-33.191223,-21.765188,17.043047,0.58418494,1.7619011,1.6504314,21.692844,30.63106,-28.516115,2.5739555,2.230509,-0.97220546,338
