cmx,cmy,cmz,m1,x1,y1,z1,vx1,vy1,vz1,m2,x2,y2,z2,vx2,vy2,vz2,m3,x3,y3,z3,vx3,vy3,vz3,cmxf,cmyf,cmzf,x1f,y1f,z1f,vx1f,vy1f,vz1f,x2f,y2f,z2f,vx2f,vy2f,vz2f,x3f,y3f,z3f,vx3f,vy3f,vz3f,ticks
-7.0154104,-0.07758713,-16.852016,29.841396,12.113995,-33.22081,-32.578125,1.2785425,-0.06768942,2.7731328,12.333115,9.854897,-12.277149,-11.1539955,-4.7815113,0.094641685,0.17012548,29.240019,-43.01512,45.265198,-6.823929,0.11957073,-0.29559526,0.37972033,-19.983795,-2.9283195,-3.550821,22.063747,-26.425812,8.245552,0.28025278,0.8220742,3.063415,-43.399426,-19.328014,-16.45783,-3.3183522,-0.3771788,-0.30876145,-38.615707,36.96887,-2.4401846,0.5212489,-1.0046496,0.28545612,267
-10.914549,3.9740055,-5.1673484,27.642086,-19.357985,21.131271,-15.179657,-1.8503562,-0.76758194,-1.0935686,17.884872,33.677467,-1.3466339,-31.740898,-0.9717408,0.58624625,-1.2625108,24.18354,-47.06313,-7.8626213,31.41851,-2.91743,1.6517916,-0.3840394,-284.49115,63.682507,-123.8337,-286.773,57.95617,-109.38862,-4.1449413,2.023467,-2.57205,-276.7649,79.08962,-116.4537,1.1723936,1.0275465,0.36763212,-289.93546,54.00172,-145.65877,-1.8803763,-1.8647664,0.10031557,2706
-6.451944,19.485416,18.541626,16.802605,-31.118858,17.51892,42.25155,2.2339587,-0.9943672,1.2924286,27.195461,-21.059788,43.11022,-9.091515,-1.714714,-1.7605371,-0.70590496,20.388237,32.822815,-2.1728973,22.464844,-0.70930237,-0.06322542,1.2577083,-325.98862,-859.02466,388.28223,-349.44662,-879.28613,366.64685,-2.4347694,-2.7568946,0.048868634,-306.06146,-892.46857,412.0382,1.0518147,-0.4053512,0.96355915,-322.4578,-805.3194,386.16156,-0.55186445,-0.41833052,0.05570154,17271
-2.4853084,0.26768494,23.395905,15.656334,-28.327148,-47.357082,-3.1898842,-1.3803765,-0.080279596,0.42278624,13.642065,8.214695,38.47722,46.90271,1.9874516,-2.5671678,1.0352488,15.532561,12.656528,9.682919,26.474892,0.98094046,-1.2393236,0.8500555,-2.114687,-0.6403574,23.933666,-29.288815,-47.406017,-2.8899724,-1.3671536,-0.059626855,0.4341099,9.608329,36.65284,47.608078,1.9941422,-2.6457343,0.97944033,13.336424,8.832106,27.082893,0.9617357,-1.1911368,0.8876576,14
-0.23448627,22.0531,-18.427906,10.178348,-25.346762,48.060165,-34.03264,1.887146,0.71583796,-2.6521873,21.749865,-1.823616,46.779465,-48.96968,-0.11549059,-0.10298081,-0.73746616,17.63245,26.466919,-28.68033,27.718605,-0.32772204,0.3082638,-0.25115144,254.11252,264.53192,-1117.3978,241.09334,298.01227,-1168.7709,2.2123218,1.1947042,-0.7771346,249.6189,299.5409,-1186.2659,-0.26709664,-0.7339459,-0.5960359,271.6253,196.0426,-997.15674,-0.3284159,0.81013644,-1.5079736,22905
-3.8842292,14.264944,17.656525,24.157896,-0.22849274,37.031647,30.59272,1.0739796,0.18686794,-0.19820234,17.24143,6.0759125,48.251015,-26.2123,0.01273726,-0.05103127,0.11666775,15.055241,-17.500107,-42.48783,48.58915,-0.9153968,0.81221247,-0.37295848,14.833662,40.164085,7.3039913,1.3263781,31.794645,10.288124,6.2978983,7.1649485,4.293512,-0.5144286,30.200006,10.233083,-9.897934,-8.335886,-6.056344,43.689034,58.4976,1.3907676,2.0520294,-0.8970213,-0.51104057,1365
-20.07457,-13.658694,-13.225517,21.95926,4.6289787,-29.900778,12.450123,1.5837646,1.0693632,-0.15791237,14.216974,-30.626165,24.921013,-39.222145,0.49454603,0.22914319,0.21205443,16.517204,-34.226524,-35.99632,-12.90453,0.20814455,0.20920014,0.19593807,144.8587,91.64769,2.5839896,195.48328,121.74892,-31.844862,0.5548048,1.7929415,-0.53589725,182.37944,121.94837,-36.69711,3.0899577,0.11415718,-0.94365203,56.713367,31.245745,76.29394,-0.65785396,-0.65380406,1.6932223,3855
-31.898602,-10.471399,2.5793724,19.836521,-36.373257,-32.591892,-34.395695,-1.5427212,-1.4693764,0.31514958,10.524207,-44.85374,7.07193,46.908234,0.0024214438,-1.4020466,1.8432649,14.157192,-14.4688,-5.8942337,-4.7744217,-1.3884958,-1.0968015,0.7867217,-61.695293,-52.231106,26.125381,-71.28864,-57.745937,0.20615387,-0.031155348,6.541528,14.341245,-41.948032,-40.32112,79.063446,0.012471748,-1.7878804,0.41993767,-71.8492,-58.626247,-0.8934547,-3.5139155,-12.034554,-17.808037,587
