cmx,cmy,cmz,m1,x1,y1,z1,vx1,vy1,vz1,m2,x2,y2,z2,vx2,vy2,vz2,m3,x3,y3,z3,vx3,vy3,vz3,cmxf,cmyf,cmzf,x1f,y1f,z1f,vx1f,vy1f,vz1f,x2f,y2f,z2f,vx2f,vy2f,vz2f,x3f,y3f,z3f,vx3f,vy3f,vz3f,ticks
0.42194748,-15.588393,-21.636074,20.203535,23.36576,32.569702,24.927254,-0.16102996,-0.22817233,0.38684922,14.721862,17.21878,-39.433796,-46.84272,0.75999993,1.6485159,1.4290757,26.953823,-39.3187,-39.901085,-42.99275,0.767889,-0.15495013,1.0675915,15.0931015,-8.525439,15.363249,-2.9083197,-9.562472,19.593924,1.3829294,-1.2563164,0.04437457,36.12517,-19.553165,14.353603,4.235447,-1.1967973,2.5985198,12.062452,3.5393226,12.142219,-2.2876513,2.1697853,0.6855632,791
-19.155098,-0.6286787,14.204479,29.282793,-9.397823,38.367233,-3.2392807,0.6208458,1.9775858,1.6772928,26.255331,-37.8686,-28.82343,45.703064,2.2508078,-2.3125613,-0.8781476,17.132828,-10.198868,-11.42984,0.14965439,-0.95071745,3.0080614,-0.95675945,-15.1467,5.2735147,14.020004,-5.8021545,48.80389,7.553413,0.5035853,1.3163478,1.7055049,-23.12399,-42.326004,39.044487,2.3971355,-1.9630109,-1.2006826,-16.513954,9.342657,-4.5378866,-0.97454154,3.6025531,-0.51070696,126
15.932532,27.367788,6.4843655,26.579918,41.48401,42.288864,20.67266,0.7815544,0.015923014,0.67448395,26.05038,0.934227,36.37774,22.459442,0.5263402,0.9646435,-0.944035,17.746702,5.37936,3.4367561,-23.679007,-1.7403083,-2.0642126,-1.2685614,25.91446,8.022125,-50.652275,21.0019,5.5532975,-49.393597,-4.964942,2.4404685,-22.057083,21.785946,5.4057293,-47.749786,3.5915928,-0.55029285,24.13929,34.95553,13.1073475,-54.81343,2.3669555,-3.4717684,-4.042417,2909
31.799328,-10.961988,23.657906,20.572796,42.134583,30.121765,33.112785,1.0420413,0.42347792,1.0001773,17.952711,4.6210213,-25.337326,5.6640625,-1.7046826,-1.3573403,1.0784293,11.480537,48.642372,-37.670403,32.19687,1.1515257,1.1419176,-0.7739791,132.09227,-76.51767,432.49194,-15.335862,48.10267,518.316,-1.1232319,0.5748928,-0.6096522,-6.5823665,20.82772,532.0062,0.9674091,-0.3262363,2.514827,418.19504,-298.4834,247.15353,0.853146,-0.7418085,-0.13537428,14105
34.41518,9.813833,-17.770792,27.909948,30.641327,15.972374,-46.55484,-1.2462676,1.9846728,2.1860182,14.171923,48.233757,-6.4033585,-14.260609,0.9913609,1.1754773,0.6421983,19.514551,24.370453,19.872482,7.5030746,-1.0626538,-2.177407,1.4421507,18.669472,21.627958,9.964652,18.95703,38.314785,17.419437,0.9360044,-0.15773675,2.1391525,20.73003,41.697006,3.060215,-4.837001,2.8846223,3.5881567,16.321354,-15.127924,9.414302,0.04892856,-0.35452822,-0.6302424,421
-17.416452,-12.114586,20.977676,23.935696,-48.50306,-45.506012,45.41101,0.4225228,-1.4737012,-0.6916163,23.705381,-11.795776,-31.128716,-18.21128,1.3991848,0.39422268,-1.683821,21.617453,8.04948,40.29097,35.7333,0.13995798,-0.6147077,0.1133857,726.5753,-645.3777,-848.7147,735.82166,-646.91705,-842.0405,1.167773,-1.5829704,0.8676647,731.953,-632.0282,-860.5291,-0.52670693,2.5950687,1.0215871,711.9511,-657.18774,-843.57446,1.4266818,-2.9071336,-4.5798244,22295
-3.2101707,39.737206,20.487947,20.011265,38.107834,49.517548,24.02359,0.25245357,-1.2264464,-0.030213727,15.496523,-37.999,35.576218,41.780716,0.19295993,0.5909874,0.67371976,13.44357,-9.739346,34.11785,-4.3404655,-0.37247223,-0.5777461,0.6704417,125.177414,-923.70264,806.46423,162.71385,-905.92474,805.20416,6.079459,2.7650359,2.5894578,53.116455,-958.61237,809.45703,0.4795705,0.55819607,0.8518858,159.70193,-906.57086,804.7313,-9.376574,-6.481425,-3.4344044,40751
2.050063,21.085464,5.329712,10.872842,-25.836254,19.162407,35.593628,-1.101317,2.1506183,-1.7611609,14.735583,-2.2769394,42.188774,-7.644558,-2.2188811,1.166851,-0.66969204,23.008995,34.263382,1.9052086,-11.959934,-0.3290198,1.533528,1.3194002,-20.135662,50.90266,-3.0120876,-44.849083,46.13461,-9.45468,-1.9153001,-0.6224487,0.02972108,-32.884766,67.54827,-14.411112,0.02672772,2.3270717,-1.8373286,17.326866,39.0251,14.829529,-1.3825244,2.1008954,1.2209102,401
-30.90096,29.929382,2.7548118,25.817503,-41.685146,35.494194,-5.3146133,2.058372,-0.927579,0.5726765,24.19968,-16.663074,4.459934,-18.76014,0.92432296,-2.365044,0.29659224,27.335182,-34.354664,49.834023,32.339188,-1.2410312,-3.2813473,-0.27265835,132.5457,-643.96204,60.629498,135.12227,-626.40784,62.08286,0.38371646,-1.0688338,2.5702753,120.63049,-650.999,48.601276,0.50529975,-3.6929743,-4.479116,141.88434,-654.4792,71.204346,0.7116065,-1.9723318,2.0685441,6110
0.0028883617,19.770208,-23.89137,24.109165,42.406624,45.694855,-48.267914,0.92399883,-0.33983517,0.28119278,13.425562,-28.486776,41.164192,-40.10723,0.24033843,0.14737429,0.64129454,13.590057,-13.911182,-27.548426,16.701035,0.36652973,-1.5303631,0.316509,338.9402,-232.75406,135.48734,407.46222,-457.4201,410.09494,1.6348232,0.13392194,0.5279461,186.72606,211.44267,-426.73175,0.27433002,0.38154957,-0.70431757,422.6323,-452.2847,423.0988,-0.9280756,-2.602157,1.2080877,11562
