cmx,cmy,cmz,m1,x1,y1,z1,vx1,vy1,vz1,m2,x2,y2,z2,vx2,vy2,vz2,m3,x3,y3,z3,vx3,vy3,vz3,cmxf,cmyf,cmzf,x1f,y1f,z1f,vx1f,vy1f,vz1f,x2f,y2f,z2f,vx2f,vy2f,vz2f,x3f,y3f,z3f,vx3f,vy3f,vz3f,ticks
-2.9945083,7.715215,-12.778709,19.39192,29.278915,-10.387856,39.603027,0.9079011,-0.7347445,-1.2809799,16.958412,-33.74305,13.552811,-29.421442,-0.40050793,-2.2414737,-1.2163353,18.09042,-4.51939,19.98069,-48.51771,-0.11973495,0.046611574,-0.15825927,277.43747,-1652.5979,-1571.8079,284.37155,-1658.6666,-1565.6477,6.0171328,-2.0240488,-1.0299072,276.48697,-1647.2386,-1576.4722,-4.9540854,2.077749,-1.0448483,271.45383,-1651.8883,-1573.3035,-1.3279011,-2.6202493,-0.58815336,35153
9.200359,19.482956,7.7683992,24.706593,23.72599,-16.434376,36.41256,-1.9415636,0.4832121,1.3210409,16.381962,41.55742,39.2557,16.42926,1.271055,0.31803107,-1.3019445,10.487472,-37.68233,35.62754,-29.536623,-0.15175222,0.18739545,0.055759527,-400.94995,277.81262,192.7916,-395.2177,275.05203,197.90579,-0.6402854,1.2048537,-0.34607175,-350.1551,345.9497,125.80443,0.2917585,-0.39248443,0.09142956,-457.4771,212.43611,254.66454,-1.6876291,-0.40279764,1.8066574,14733
-8.727688,-16.731056,25.478987,23.108591,-46.93916,-33.054604,14.273415,-2.4409182,2.2687585,-0.24950735,25.05925,48.05111,30.027344,47.388542,0.2226914,0.6047062,0.26336583,13.260846,-27.295012,-47.165905,14.775002,-1.8107486,-3.8922973,0.44781733,-13.094746,-17.64877,25.960379,-53.9608,-26.433687,13.543612,-2.084973,1.9637122,-0.2134681,48.65635,31.858208,48.18265,0.16259812,0.5591684,0.24144785,-33.979786,-58.370823,16.154865,-2.3174639,-3.274663,0.42643332,63
-37.161987,7.0681343,-23.860449,12.311965,-37.55694,11.41095,-0.8411217,-2.7892911,2.5767334,-0.5144852,12.009739,-44.752247,-6.5187874,-42.64512,0.24926654,-2.0937781,2.8484747,27.133562,-29.176771,16.31224,-28.095108,1.5380598,-1.6118102,1.5141481,-6.6344604,-129.32593,213.07504,-125.62112,86.53056,-271.89532,-0.23628713,0.1272992,-0.9574252,47.24009,-246.742,444.9658,-0.5715166,-1.8697076,2.1458797,58.477646,-227.76636,466.15466,0.74291545,-0.59954643,2.0261204,4620
19.813564,4.9540253,-7.298766,14.567244,11.839359,-7.75082,-4.841877,1.3989825,-3.6282773,-0.9996338,26.103357,27.158806,-16.220814,-24.714725,-1.0226794,-0.37483576,-1.228618,12.93284,20.442528,38.83371,7.660305,-1.2759213,2.4369106,-1.8397486,14.138594,1.5908661,-30.450079,19.525402,-23.6029,-47.71858,-1.5761158,0.80443704,-1.5906076,19.361273,-36.483467,-23.91609,0.5993496,-2.4038854,-0.7700283,3.529107,64.85896,-19.715569,-1.19871,1.5393926,-2.0997,272
5.8475165,-17.724844,-18.018492,11.756801,-15.288567,-15.7829895,-11.204933,1.7917013,-1.405757,1.9670215,10.498639,17.687103,-23.793161,6.7240906,1.0037303,1.7870516,1.215315,15.305805,15.144012,-13.598381,-49.57463,-0.5321492,0.7472383,1.0346105,126.69439,59.70614,268.91528,98.996765,54.25049,252.90796,0.0714651,-0.538437,2.31711,75.57723,74.272285,321.05972,0.9645935,0.60407734,1.0870336,205.50916,50.595634,232.77823,0.8160544,0.8924566,0.85369384,4148
-5.6472883,7.1677084,-11.624183,14.830687,-42.151844,41.678795,48.183617,0.41413954,-0.24055482,0.018053189,20.134634,5.0800514,-10.551941,-43.193214,1.1409159,-2.293706,2.6033278,29.058817,20.129929,-9.62373,-39.86295,-4.197083,2.6996908,0.22618532,-193.62262,57.484077,81.89011,-135.12877,-38.376366,-102.27035,-1.3760622,-0.35206038,-0.6316629,-202.42497,150.97948,165.29475,-1.7853767,1.2476512,1.3766693,-243.31413,59.849113,182.6459,-1.2558168,0.30281907,1.407721,2846
-2.1934981,-3.416729,4.6270747,21.295948,-3.9237747,-12.491924,-21.787786,-0.025079511,0.41191864,3.6094725,26.367186,21.440384,30.921936,-0.7051048,2.09486,-1.0320404,-1.7912467,22.0808,-24.097103,-28.680199,36.374115,0.6544757,1.0238199,-0.95473486,12.2087345,-0.8930375,8.8047905,-15.352859,-13.744922,28.086838,-1.2879033,-0.61695766,-0.15428692,45.223858,6.6618867,-25.397398,1.0091542,-1.8919591,-1.2038587,6.7552023,4.4039226,23.72493,3.1688795,3.0429745,1.9738295,308
-1.8878149,11.599933,-14.54796,24.298897,27.222511,31.594345,-13.507378,0.17488618,-0.050480433,0.12708566,26.538776,-36.995674,27.284813,-40.03351,1.4060688,-0.8232217,-2.6908941,15.019184,4.1097183,-24.07936,9.897007,-0.30893463,0.11371669,-0.75640136,143.25708,-73.4566,-353.45856,158.10333,-64.44967,-364.98465,-0.5841124,-0.9445473,-2.8276694,179.1951,-77.25878,-350.51523,1.283276,-0.02548784,1.5266043,92.47279,-78.66133,-344.8757,1.1359988,0.15060107,-3.4283092,5549
9.322401,17.583534,24.832062,17.253923,27.003624,37.747314,-16.762562,-0.9023733,0.40778202,0.5808238,28.972801,48.10116,31.2481,48.6671,-0.19081905,-0.22233203,0.22988713,10.45965,-47.13758,-16.244816,42.591652,-0.010697632,1.801924,-1.4997872,-770.6251,787.48065,186.79362,-1095.7643,1018.1217,-97.9832,-0.9490366,0.6485247,1.2295481,-1082.0209,991.92566,-61.69499,-0.061922316,0.23321167,-0.779328,-134.09006,352.39462,720.0591,-0.2907643,0.14298844,0.22560576,50000
15.217395,-15.585541,45.874695,13.664364,42.383934,10.616154,43.84079,-0.38795552,0.39272812,-0.49008977,25.40924,-33.44857,-22.179735,49.526695,-0.3166075,1.2850376,1.5081152,16.63097,36.71682,-35.19304,44.2566,-0.20420504,1.4470673,-3.2118697,-134.48354,351.58643,-102.032776,-240.01414,313.7528,-178.85304,-0.51497644,1.6527102,-0.9159674,76.18138,388.12543,-25.697674,-0.09658237,1.1145719,-0.73711866,-239.61783,352.88107,-101.54759,-0.4360095,0.67227685,0.56836045,6772
0.1694921,-5.212261,5.0749435,27.254608,-8.27647,-20.669388,12.258888,-1.5137672,1.4729509,2.2127914,13.341896,-11.073971,-23.671543,-22.818321,-0.115827456,0.051921364,0.0735156,13.441901,19.858917,28.704147,25.784264,1.5441974,-2.498963,1.1028755,-24.006186,-17.10159,87.89029,-38.66663,47.56728,119.49172,-0.40066662,0.96435714,1.1886084,-25.014397,27.33352,80.60083,0.33065426,0.32621074,2.6978846,-8.337531,-126.20557,63.57832,-1.155868,-1.7399907,0.5746467,1264
18.216694,15.208557,8.339939,10.072729,13.217056,27.814781,14.570305,0.11754488,0.3657006,0.5384334,15.704256,4.0669136,-30.57965,11.751778,0.7073707,0.9769449,1.2432728,20.357962,37.36611,48.39054,-1.3022652,-0.023473509,-0.121817745,-0.12016617,287.3026,389.3441,515.3849,286.5597,380.51205,514.1891,4.0321746,1.5607064,5.636429,283.2531,391.4827,518.4464,-0.16314456,2.4299982,1.9113529,292.095,396.03745,513.5191,-1.2888376,-1.8339733,-3.1579177,20861
26.572235,-2.0700607,-1.145482,27.616608,46.783035,3.2142754,-3.4759064,4.398344,-0.55932,1.8903465,21.474092,32.54367,-49.214153,17.435402,2.2013931,-0.9442501,4.237853,22.642746,10.698582,41.568466,8.276073,0.48114347,-4.547117,-3.1436408,10.143022,37.147453,-28.482979,-16.714436,-1.3333149,-1.3684309,0.520525,20.204262,5.6884346,22.564087,-11.248543,1.5555924,0.62189585,1.5097593,30.888123,-5.8708987,1.929402,58.78975,1.4933689,1.9794374,3.880035,-0.6185673,1.8696963,38.95578,-51.34201,29.330269,2.2155268,-0.5387475,3.9681096,11.501421,25.742016,-4.135032,-4.0099163,-7.561751,-16.635878,33.39315,-31.665762,-14.403376,-1.2335013,-0.8458538,1.0451403,11.800514,26.417892,-3.1242876,7.232016,3.3880177,16.68195,58
5.0538635,10.621631,-16.006119,28.321754,17.327202,-0.27812576,-32.494125,0.12758732,-3.4052682,3.1307259,20.661041,-45.914204,22.122902,-42.672813,-1.6479368,1.1150341,1.4650049,25.639526,-29.482723,40.311157,35.586708,-1.0197365,-1.9969459,-2.2354603,18.186275,48.060455,8.392036,-24.874163,2.4422355,2.3507843,4.9732094,27.504328,35.278587,-17.43982,-15.576206,0.30916643,1.474906,4.4928064,4.857466,9.349512,1.4305394,26.152802,-23.705355,-0.7766701,2.0929801,-2.113612,5.519492,-55.42532,29.60993,-29.972433,-0.96092033,0.9186967,2.0558434,-35.509163,24.370237,16.903296,-0.5771052,-2.340259,-2.8618386,57.015537,17.821264,12.242013,0.06995175,0.29921877,5.013652,32.05347,-1.3485179,8.756492,-1.0747502,1.9689137,2.1463814,147
