cmx,cmy,cmz,m1,x1,y1,z1,vx1,vy1,vz1,m2,x2,y2,z2,vx2,vy2,vz2,m3,x3,y3,z3,vx3,vy3,vz3,cmxf,cmyf,cmzf,x1f,y1f,z1f,vx1f,vy1f,vz1f,x2f,y2f,z2f,vx2f,vy2f,vz2f,x3f,y3f,z3f,vx3f,vy3f,vz3f,ticks
9.0867195,5.7097893,-4.7739477,11.4420805,29.82267,-25.051182,29.502151,0.24151748,-1.9164183,-1.4013966,14.193119,-24.65427,40.532707,1.4730148,0.11612935,-0.2635538,-0.2959829,26.095936,22.091759,1.6478424,-45.29701,1.013239,1.0107558,1.3196465,1205.6233,38.2894,533.6142,1235.3322,69.383965,471.1244,2.1488998,1.9283392,0.13759658,1202.3779,20.147781,624.3456,0.4267214,-0.79288566,0.41379032,1179.1595,25.336452,505.3725,0.007995777,-0.3871299,0.2588185,39804
-37.517082,-11.126545,7.5907593,18.961199,-47.265934,-3.6221275,29.90345,0.8672023,-0.35104036,-0.7031174,22.913174,-21.914785,-6.917877,-26.960915,-0.095446125,-0.13630891,0.0936612,13.735099,-43.37053,-22.83963,19.829742,1.8871474,3.711482,2.113408,1468.197,1532.6478,672.48724,1462.9402,1507.1353,680.694,1.4516193,-1.851594,3.5754325,1459.7024,1534.9803,659.2951,0.19964994,3.6098704,-0.6501456,1481.9484,1555.8274,677.47266,0.5880646,-0.46649867,-2.552268,41584
-1.3344028,15.461149,-0.6483282,13.265866,0.33605194,47.35711,33.91443,0.42112222,-1.7603067,-0.57338345,24.633286,-7.2028694,33.59916,-37.123444,0.39843774,0.4529279,2.5595582,22.467337,2.8636093,-34.572823,1.2640305,1.3460488,-1.0795071,-0.24693991,13.166155,1.2140453,8.464886,1.9467534,26.632765,-1.4591277,-0.31714243,1.4930468,-0.779492,7.794297,22.061697,31.202944,1.0500448,-2.4158747,2.586479,29.757412,-45.052326,-4.349161,1.0675346,0.14491193,-0.15475869,436
29.710632,-20.10295,-17.18214,20.118214,23.542244,-25.208927,-42.213036,-0.29492298,-0.30075637,0.3442216,16.399376,49.09179,-12.9042015,-49.642723,0.05890998,-0.06080335,-0.077927545,12.048272,16.497864,-22.195715,40.30934,1.4943371,0.13873148,1.9255676,33.21609,-21.393354,-9.283256,33.456924,-21.7948,-42.87752,8.639002,7.1692715,-18.668423,33.49309,-21.676346,-43.419495,-10.929931,-9.224848,23.559696,32.698257,-20.708918,58.447247,1.5338018,0.13881269,1.4987963,213
-19.973116,7.6854773,-0.83645,26.581614,-21.334082,4.4055176,4.7067566,-4.4970274,3.7990894,-2.9877841,22.624819,-10.6035,13.697361,-17.704731,-3.5575378,-2.7089715,-3.1812847,21.699135,-27.981764,4.9535522,10.488625,-2.6887994,0.28035927,1.2684193,-63.429806,14.712011,-21.774265,-64.01448,27.354368,-17.327345,0.70847243,-2.5807347,0.43913352,-64.87449,-10.492099,-28.181734,-4.922487,-0.45355496,0.5125005,-61.40044,27.273764,-19.813715,-7.642401,5.7440615,-6.7809443,239
21.890425,-6.326602,6.8582106,20.417736,18.98571,-12.543755,47.61451,-0.36520004,-0.32717687,0.2831814,17.545214,20.30922,10.791569,10.485542,0.24721791,-0.9841682,1.1938249,10.965671,26.376343,-17.22762,-37.52542,-0.9370876,0.5761026,-1.4598438,-14.001617,-52.77862,45.66679,-15.899964,-53.667343,43.25424,-1.9963043,-3.00748,5.7545533,-15.488703,-47.15721,35.082386,0.50537074,5.081317,-4.7340918,-10.616186,-57.511303,58.663734,1.6869354,-4.13811,-2.1626346,2607
11.547881,9.385688,-9.593814,14.532,39.965622,-5.500389,-15.69043,1.5338902,-2.3351982,-1.5094258,21.97258,-17.405426,32.74916,-25.225645,0.6418669,-0.2601381,-0.43746,17.931074,12.0834465,0.90829086,12.134636,0.9424567,-0.90045214,-1.1120892,106.23461,-88.72189,-104.90416,121.807495,-82.634285,-104.43347,4.735151,-0.9239227,-2.477073,101.86323,-98.61004,-97.60072,-0.8204951,-1.7723709,-2.0153666,95.033104,-84.921364,-112.67826,0.14000213,-0.19112496,1.6056764,1988
10.870875,-12.367602,-6.628809,27.008156,-25.818085,-20.063108,14.373703,-3.8037288,0.005595684,-0.7085471,25.00036,45.924843,9.785957,-12.857044,2.483206,1.4474378,0.44207746,24.265621,12.505867,-26.825655,-21.403086,-0.9917546,0.35551786,-1.9801531,9.944168,-11.643676,-7.5256033,-30.316639,-20.054693,13.475153,-3.6958826,0.008496897,-0.78685385,48.83679,11.466191,-12.32992,2.3723948,1.3560387,0.43564633,11.312355,-26.342524,-23.722042,-0.9976231,0.4464551,-1.8863697,24
6.7473273,-22.289562,-22.791286,20.53484,20.666206,-42.94922,-24.608797,-0.24398114,-1.9178289,1.9802258,28.140108,11.5828285,19.286537,-44.54441,1.1455715,-1.9005796,-1.3556026,10.184179,-12.007053,-43.206005,0.7793541,-1.4475317,-3.4199018,1.3867431,5.919944,-38.525032,-18.60796,17.777569,-54.907383,-10.865376,-0.5878373,-1.6098439,2.0065284,19.41851,5.0910687,-53.23696,1.1347128,-2.22279,-1.1767642,-19.436249,-65.75878,8.278466,-0.7241929,-3.1505983,0.83955514,137
-12.571936,-1.4634641,-21.769268,21.823383,-20.529669,-8.477314,-6.0633354,-0.63249016,-1.8857145,-2.5705242,27.194168,-32.37861,38.70832,-11.281658,-0.29907084,0.5474199,-0.29866263,15.405386,15.192474,-34.6214,-47.962807,0.25481987,-1.126761,-0.09007645,-65.18616,-68.86759,-149.45795,-105.90015,-106.96372,-215.66757,-0.060893208,-0.59410363,-1.2791599,10.984408,-150.57837,-159.29771,0.055007063,-1.6585943,-1.3046986,-100.64273,50.939316,-73.408585,-1.1799427,0.9376691,-0.14353324,2741
